child_table,child_column,parent_table,parent_column,CONSTRAINT_NAME
prescription_items,manually_added_by,users,id,prescription_items_manually_added_by_foreign
prescription_items,mapped_drug_id,pharmacy_drugs,id,prescription_items_mapped_drug_id_foreign
prescription_items,prescription_id,prescriptions,id,prescription_items_prescription_id_foreign
prescriptions,dispensed_by_staff_id,staff,id,prescriptions_dispensed_by_staff_id_foreign
prescriptions,doctor_id,doctors,id,prescriptions_doctor_id_foreign
prescriptions,patient_id,patients,id,prescriptions_patient_id_foreign
prescriptions,reviewed_by_pharmacist_id,staff,id,prescriptions_reviewed_by_pharmacist_id_foreign
prescriptions,treatment_id,treatments,id,prescriptions_treatment_id_foreign
queue,added_by,staff,id,queue_added_by_foreign
queue,attended_by,staff,id,queue_attended_by_foreign
queue,patient_id,patients,id,queue_patient_id_foreign
staff_documents,staff_id,staff,id,staff_documents_staff_id_foreign
surveillance_cases,created_by,staff,id,surveillance_cases_created_by_foreign
surveillance_cases,patient_id,patients,id,surveillance_cases_patient_id_foreign
surveillance_cases,treatment_id,treatments,id,surveillance_cases_treatment_id_foreign
surveillance_cases,updated_by,staff,id,surveillance_cases_updated_by_foreign
treatments,bill_id,bills,id,treatments_bill_id_foreign
treatments,created_by,staff,id,treatments_created_by_foreign
treatments,doctor_id,doctors,id,treatments_doctor_id_foreign
treatments,patient_id,patients,id,treatments_patient_id_foreign
treatments,updated_by,staff,id,treatments_updated_by_foreign
triages,patient_id,patients,id,triages_patient_id_foreign
triages,recorded_by,staff,id,triages_recorded_by_foreign
triages,updated_by,staff,id,triages_updated_by_foreign
